MapVis
Hughes (R) v. Wilson (D)	1916	Actual Results	usa.svg	colorgradientusfull.png	Election Results not considering faithless Electors
Republican	Leaning Republican	3rd	Tie	Leaning Democrat	Democrat
Republican	Democrat
AL	Democrat	12	21.92	76.04
AK	NULL	0	0	0
AZ	Democrat	3	35.37	57.17
AR	Democrat	9	28.73	65.97
CA	Democrat	13	46.27	46.65
CO	Democrat	6	34.75	60.74
CT	Republican	7	49.80	46.66
DE	Republican	3	50.20	47.78
DC	NULL	0	0	0
FL	Democrat	6	18.10	69.34
GA	Democrat	14	7.03	79.51
HI	NULL	0	0	0
ID	Democrat	4	41.13	52.04
IL	Republican	29	52.56	43.34
IN	Republican	15	47.44	46.47
IA	Republican	13	54.57	42.55
KS	Democrat	10	44.09	49.95
KY	Democrat	13	46.50	51.91
LA	Democrat	10	6.95	85.90
ME	Republican	6	50.99	46.97
MD	Democrat	8	44.78	52.80
MA	Republican	18	50.54	46.61
MI	Republican	15	52.09	44.05
MN	Republican	12	46.35	46.25
MS	Democrat	10	4.91	92.78
MO	Democrat	18	46.94	50.59
MT	Democrat	4	37.57	56.88
NE	Democrat	8	40.99	55.28
NV	Democrat	3	36.40	53.36
NH	Democrat	4	49.06	49.12
NJ	Republican	14	54.40	42.68
NM	Democrat	3	46.64	50.20
NY	Republican	45	51.53	44.51
NC	Democrat	12	41.71	58.10
ND	Democrat	5	46.34	47.84
OH	Democrat	24	44.18	51.86
OK	Democrat	10	33.21	50.59
OR	Republican	5	48.47	45.90
PA	Republican	38	54.26	40.22
RI	Republican	5	51.08	46.00
SC	Democrat	9	2.42	96.71
SD	Republican	5	49.80	45.91
TN	Democrat	12	42.70	56.31
TX	Democrat	20	17.45	76.92
UT	Democrat	4	37.82	58.78
VT	Republican	4	62.43	35.22
VA	Democrat	12	31.83	66.99
WA	Democrat	7	43.89	48.13
WV	Republican	8	49.38	48.44
WI	Republican	13	49.39	42.80
WY	Democrat	3	41.86	54.62
