MapVis
Reagan (R) v. Carter (D)	1980	Resultate	usa.svg	colorgradientusfull.png	Wahlresultate ohne "Faithless Electors"
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
AL	Republikanisch	9	48.75	47.45
AK	Republikanisch	3	54.35	26.41
AZ	Republikanisch	6	60.61	28.24
AR	Republikanisch	6	48.13	47.52
CA	Republikanisch	45	52.69	35.91
CO	Republikanisch	7	55.07	31.07
CT	Republikanisch	8	48.16	38.52
DE	Republikanisch	3	47.21	44.87
DC	Demokratisch	3	13.41	74.89
FL	Republikanisch	17	55.52	38.50
GA	Demokratisch	12	40.95	55.76
HI	Demokratisch	4	42.90	44.80
ID	Republikanisch	4	66.46	25.19
IL	Republikanisch	26	49.65	41.72
IN	Republikanisch	13	56.01	37.65
IA	Republikanisch	8	51.31	38.60
KS	Republikanisch	7	57.85	33.29
KY	Republikanisch	9	49.07	47.61
LA	Republikanisch	10	51.20	45.75
ME	Republikanisch	4	45.61	42.25
MD	Demokratisch	10	44.18	47.14
MA	Republikanisch	14	41.90	41.75
MI	Republikanisch	21	48.99	42.50
MN	Demokratisch	10	42.56	46.50
MS	Republikanisch	7	49.42	48.09
MO	Republikanisch	12	51.16	44.35
MT	Republikanisch	4	56.82	32.43
NE	Republikanisch	5	65.53	26.04
NV	Republikanisch	3	62.54	26.89
NH	Republikanisch	4	57.74	28.35
NJ	Republikanisch	17	51.97	38.56
NM	Republikanisch	4	54.97	36.78
NY	Republikanisch	41	46.66	43.99
NC	Republikanisch	13	49.30	47.18
ND	Republikanisch	3	64.23	26.26
OH	Republikanisch	25	51.51	40.91
OK	Republikanisch	8	60.50	34.97
OR	Republikanisch	6	48.33	38.67
PA	Republikanisch	27	49.59	42.48
RI	Demokratisch	4	37.20	47.67
SC	Republikanisch	8	49.57	48.04
SD	Republikanisch	4	60.53	31.69
TN	Republikanisch	10	48.70	48.41
TX	Republikanisch	26	55.28	41.42
UT	Republikanisch	4	72.77	20.57
VT	Republikanisch	3	44.37	38.41
VA	Republikanisch	12	53.03	40.31
WA	Republikanisch	9	49.66	37.32
WV	Demokratisch	6	45.30	49.81
WI	Republikanisch	11	47.90	43.18
WY	Republikanisch	3	62.64	27.97
