MapVis
Willkie (R) v. Roosevelt (D)	1940	Resultate	usa.svg	colorgradientusfull.png	Wahlresultate ohne "Faithless Electors"
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
AL	Demokratisch	11	14.34	85.22
AK	NULL	0	0	0
AZ	Demokratisch	3	36.01	63.49
AR	Demokratisch	9	20.98	79.02
CA	Demokratisch	22	41.34	57.44
CO	Republikanisch	6	50.92	48.37
CT	Demokratisch	8	46.30	53.44
DE	Demokratisch	3	45.05	54.70
DC	NULL	0	0	0
FL	Demokratisch	7	25.99	74.01
GA	Demokratisch	12	14.83	84.85
HI	NULL	0	0	0
ID	Demokratisch	4	45.31	54.36
IL	Demokratisch	29	48.54	50.97
IN	Republikanisch	14	50.45	49.03
IA	Republikanisch	11	52.03	47.62
KS	Republikanisch	9	56.86	42.40
KY	Demokratisch	11	42.30	57.44
LA	Demokratisch	10	14.09	85.88
ME	Republikanisch	5	51.10	48.77
MD	Demokratisch	8	40.83	58.25
MA	Demokratisch	17	46.36	53.11
MI	Republikanisch	19	49.85	49.52
MN	Demokratisch	11	47.66	51.49
MS	Demokratisch	9	4.19	95.70
MO	Demokratisch	15	47.50	52.27
MT	Demokratisch	4	40.17	58.78
NE	Republikanisch	7	57.19	42.81
NV	Demokratisch	3	39.92	60.08
NH	Demokratisch	4	46.78	53.22
NJ	Demokratisch	16	47.86	51.48
NM	Demokratisch	3	43.28	56.59
NY	Demokratisch	47	48.04	51.60
NC	Demokratisch	13	25.97	74.03
ND	Republikanisch	4	55.06	44.18
OH	Demokratisch	26	47.80	52.20
OK	Demokratisch	11	42.23	57.41
OR	Demokratisch	5	45.62	53.70
PA	Demokratisch	36	46.33	53.23
RI	Demokratisch	4	43.17	56.73
SC	Demokratisch	8	4.37	95.63
SD	Republikanisch	4	57.41	42.59
TN	Demokratisch	11	32.35	67.25
TX	Demokratisch	23	18.91	80.92
UT	Demokratisch	4	37.59	62.25
VT	Republikanisch	3	54.78	44.92
VA	Demokratisch	11	31.55	68.08
WA	Demokratisch	8	40.58	58.22
WV	Demokratisch	8	42.90	57.10
WI	Demokratisch	12	48.32	50.15
WY	Demokratisch	3	46.89	52.82
