MapVis
Nixon (R) v. McGovern (D)	1972	Resultate	usa.svg	colorgradientusfull.png	Wahlresultate ohne "Faithless Electors"
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
AL	Republikanisch	9	72.43	25.54
AK	Republikanisch	3	58.13	34.62
AZ	Republikanisch	6	61.64	30.38
AR	Republikanisch	6	68.82	30.71
CA	Republikanisch	45	55.00	41.54
CO	Republikanisch	7	62.61	34.59
CT	Republikanisch	8	58.57	40.13
DE	Republikanisch	3	59.60	39.18
DC	Demokratisch	3	21.56	78.10
FL	Republikanisch	17	71.91	27.80
GA	Republikanisch	12	75.04	24.65
HI	Republikanisch	4	62.48	37.52
ID	Republikanisch	4	64.24	26.04
IL	Republikanisch	26	59.03	40.51
IN	Republikanisch	13	66.11	33.34
IA	Republikanisch	8	57.61	40.48
KS	Republikanisch	7	67.66	29.50
KY	Republikanisch	9	63.37	34.77
LA	Republikanisch	10	65.32	28.35
ME	Republikanisch	4	61.46	38.48
MD	Republikanisch	10	61.26	37.36
MA	Demokratisch	14	45.23	54.20
MI	Republikanisch	21	56.20	41.81
MN	Republikanisch	10	51.58	46.07
MS	Republikanisch	7	78.20	19.63
MO	Republikanisch	12	62.29	37.71
MT	Republikanisch	4	57.93	37.85
NE	Republikanisch	5	70.50	29.50
NV	Republikanisch	3	63.68	36.32
NH	Republikanisch	4	63.98	34.86
NJ	Republikanisch	17	61.57	36.77
NM	Republikanisch	4	61.05	36.56
NY	Republikanisch	41	58.54	41.21
NC	Republikanisch	13	69.46	28.89
ND	Republikanisch	3	62.07	35.79
OH	Republikanisch	25	59.63	38.07
OK	Republikanisch	8	73.70	24.00
OR	Republikanisch	6	52.45	42.33
PA	Republikanisch	27	59.11	39.13
RI	Republikanisch	4	53.00	46.81
SC	Republikanisch	8	70.58	27.92
SD	Republikanisch	4	54.15	45.52
TN	Republikanisch	10	67.70	29.75
TX	Republikanisch	26	66.20	33.24
UT	Republikanisch	4	67.64	26.39
VT	Republikanisch	3	62.66	36.47
VA	Republikanisch	12	67.84	30.12
WA	Republikanisch	9	56.92	38.64
WV	Republikanisch	6	63.61	36.39
WI	Republikanisch	11	53.40	43.72
WY	Republikanisch	3	69.01	30.47
