2020-11-29
1	2
2020-09-27
1	2	3	4	5
2020-02-09
1	2
2019-05-19
1	2
2019-02-10
1
2018-11-25
1	2	3
2018-09-23
1	2	3
2018-06-10
1	2
2018-03-04
1	2
2017-09-24
1	2	3
2017-05-21
1
2017-02-12
1	2	3
2016-11-27
1
2016-09-25
1	2	3
2016-06-05
1	2	3	4	5
2016-02-28
1	2	3	4
2015-06-14
1	2	3	4
2015-03-08
1	2
2014-11-30
1	2	3
2014-09-28
1	2
2014-05-18
1	2	3	4
2014-02-09
1	2	3
2013-11-24
1	2	3
2013-09-22
1	2	3
2013-06-09
1	2
2013-03-03
1	2	3
2012-11-25
1
2012-09-23
1	2	3
2012-06-17
1	2	3
2012-03-11
1	2	3	4	5
2011-02-13
1
2010-11-28
1	2	3	4
2010-09-26
1
2010-03-07
1	2	3
2009-11-29
1	2	3
2009-09-27
1	2
2009-05-17
1	2
2009-02-08
1
2008-11-30
1	2	3	4	5
2008-06-01
1	2	3
2008-02-24
1	2
2007-06-17
1
2007-03-11
1
2006-11-26
1	2
2006-09-24
1	2	3
2006-05-21
1
2005-11-27
1	2
2005-09-25
1
2005-06-05
1	2
2004-11-28
1	2	3
2004-09-26
1	2	3	4
2004-05-16
1	2	3
2004-02-08
1	2	3
2003-05-18
1	2	3	4	5	6	7	8	9
2003-02-09
1	2
2002-11-24
1	2
2002-09-22
1	2	3	4
2002-06-02
1	2
2002-03-03
1	2
2001-12-02
1	2	3	4	5
2001-06-10
1	2	3
2001-03-04
1	2	3
2000-11-26
1	2	3	4	5
2000-09-24
1	2	3	4	5	6
2000-05-21
1
2000-03-12
1	2	3	4	5
1999-06-13
1	2	3	4	5
1999-04-18
1
1999-02-07
1	2	3	4
1998-11-29
1	2	3	4
1998-09-27
1	2	3
1998-06-07
1	2	3
1997-09-28
1	2
1997-06-08
1	2	3
1996-12-01
1	2
1996-06-09
1	2
1996-03-10
1	2	3	4	5
1995-06-25
1	2	3
1995-03-12
1	2	3	4
1994-12-04
1	2	3
1994-09-25
1	2
1994-06-12
1	2	3
1994-02-20
1	2	3	4	5
1993-11-28
1	2	3	4	5	6
1993-09-26
1	2	3	4	5
1993-06-06
1	2
1993-03-07
1	2	3
1992-12-06
1
1992-09-27
1	2	3	4	5	6
1992-05-17
1	2	3	4	5	6	7
1992-02-16
1	2
1991-06-02
1	2
1991-03-03
1	2
1990-09-23
1	2	3	4
1990-04-01
1	2	3	4	5	6
1989-11-26
1	2
1989-06-04
1
1988-12-04
1	2	3
1988-06-12
1	2
1987-12-06
1	2	3
1987-04-05
1	2	3	4
1986-12-07
1	2
1986-09-28
1	2	3	4
1986-03-16
1
1985-12-01
1
1985-09-22
1	2	3
1985-06-09
1	2	3	4
1985-03-10
1	2	3	4
1984-12-02
1	2	3
1984-09-23
1	2
1984-05-20
1	2
1984-02-26
1	2	3
1983-12-04
1	2
1983-02-27
1	2
1982-11-28
1	2
1982-06-06
1	2
1981-11-29
1
1981-06-14
1	2
1981-04-05
1
1980-11-30
1	2	3	4
1980-03-02
1	2
1979-05-20
1	2
1979-02-18
1	2	3	4
1978-12-03
1	2	3	4
1978-09-24
1
1978-05-28
1	2	3	4	5
1978-02-26
1	2	3	4
1977-12-04
1	2	3	4
1977-09-25
1	2	3	4	5	6
1977-06-12
1	2
1977-03-13
1	2	3	4
1976-12-05
1	2	3
1976-09-26
1	2
1976-06-13
1	2	3
1976-03-21
1	2	3
1975-12-07
1	2	3
1975-06-08
1	2	3	4	5
1975-03-02
1
1974-12-08
1	2	3	4
1974-10-20
1
1973-12-02
1	2	3	4	5
1973-05-20
1
1973-03-04
1	2
1972-12-03
1	2	3
1972-09-24
1
1972-06-04
1	2
1972-03-05
1	2	3
1971-06-06
1	2
1971-02-07
1
1970-11-15
1
1970-09-27
1	2
1970-06-07
1
1970-02-01
1
1969-09-14
1
1969-06-01
1
1968-05-19
1
1968-02-18
1
1967-07-02
1
1966-10-16
1	2
1965-05-16
1
1965-02-28
1	2
1964-12-06
1
1964-05-24
1
1964-02-02
1
1963-12-08
1	2
1963-05-26
1
1962-11-04
1
1962-05-27
1	2
1962-04-01
1
1961-12-03
1
1961-10-22
1
1961-03-05
1	2
1960-12-04
1
1960-05-29
1
1959-05-24
1
1959-02-01
1
1958-12-07
1	2
1958-10-26
1
1958-07-06
1	2
1958-05-11
1
1958-01-26
1
1957-11-24
1	2
1957-03-03
1	2
1956-09-30
1	2
1956-05-13
1	2
1956-03-04
1
1955-03-13
1	2
1954-12-05
1
1954-10-24
1
1954-06-20
1	2
1953-12-06
1	2
1953-04-19
1
1952-11-23
1	2
1952-10-05
1	2
1952-07-06
1
1952-05-18
1
1952-04-20
1
1952-03-30
1
1952-03-02
1
1951-07-08
1
1951-04-15
1	2
1951-02-25
1
1950-12-03
1	2
1950-10-01
1
1950-06-04
1
1950-01-29
1
1949-12-11
1
1949-09-11
1
1949-05-22
1	2
1948-03-14
1
1947-07-06
1	2
1947-05-18
1
1946-12-08
1
1946-02-10
1
1945-11-25
1
1945-01-21
1
1944-10-29
1
1942-05-03
1
1942-01-25
1
1941-03-09
1
1940-12-01
1
1939-12-03
1
1939-06-04
1
1939-01-22
1	2
1938-11-27
1
1938-07-03
1
1938-02-20
1	2	3	4
1937-11-28
1
1935-09-08
1
1935-06-02
1
1935-05-05
1
1935-02-24
1
1934-03-11
1
1933-05-28
1
1931-12-06
1	2
1931-03-15
1	2
1931-02-08
1
1930-04-06
1
1929-05-12
1	2
1929-03-03
1	2	3
1928-12-02
1
1928-05-20
1
1927-05-15
1	2
1926-12-05
1
1925-12-06
1
1925-10-25
1
1925-05-24
1
1924-02-17
1
1923-06-03
1
1923-04-15
1
1923-02-18
1	2
1922-12-03
1
1922-09-24
1
1922-06-11
1	2	3
1921-05-22
1	2
1921-01-30
1	2
1920-10-31
1
1920-05-16
1
1920-03-21
1	2	3
1919-08-10
1
1919-05-04
1	2
1918-10-13
1
1918-06-02
1
1917-05-13
1
1915-06-06
1
1914-10-25
1
1913-05-04
1
1912-02-04
1
1910-10-23
1
1908-10-25
1
1908-07-05
1	2
1907-11-03
1
1906-06-10
1
1905-03-19
1
1903-10-25
1	2	3
1903-03-15
1
1902-11-23
1
1900-11-04
1	2
1900-05-20
1
1898-11-13
1	2
1898-02-20
1
1897-07-11
1	2
1897-02-28
1
1896-10-04
1	2	3
1895-11-03
1
1895-09-29
1
1895-02-03
1
1894-11-04
1
1894-06-03
1
1894-03-04
1
1893-08-20
1
1891-12-06
1
1891-10-18
1	2
1891-07-05
1
