MapVis
Goldwater (R) v. Johnson (D)	1964	Resultate	usa.svg	colorgradientusfull.png	Wahlresultate ohne "Faithless Electors"
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
AL	Republikanisch	10	69.45	30.55
AK	Demokratisch	3	34.09	65.91
AZ	Republikanisch	5	50.45	49.45
AR	Demokratisch	6	43.41	56.06
CA	Demokratisch	40	40.79	59.11
CO	Demokratisch	6	38.19	61.27
CT	Demokratisch	8	32.09	67.81
DE	Demokratisch	3	38.78	60.95
DC	Demokratisch	3	14.50	85.50
FL	Demokratisch	14	48.85	51.15
GA	Republikanisch	12	54.12	45.87
HI	Demokratisch	4	21.24	78.76
ID	Demokratisch	4	49.08	50.92
IL	Demokratisch	26	40.53	59.47
IN	Demokratisch	13	43.56	55.98
IA	Demokratisch	9	37.92	61.88
KS	Demokratisch	7	45.06	54.09
KY	Demokratisch	9	35.65	64.01
LA	Republikanisch	10	56.81	43.19
ME	Demokratisch	4	31.16	68.84
MD	Demokratisch	10	34.53	65.47
MA	Demokratisch	14	23.44	76.19
MI	Demokratisch	21	33.10	66.70
MN	Demokratisch	10	36.00	63.76
MS	Republikanisch	7	87.14	12.86
MO	Demokratisch	12	35.95	64.05
MT	Demokratisch	4	40.57	58.95
NE	Demokratisch	5	47.39	52.61
NV	Demokratisch	3	41.42	58.58
NH	Demokratisch	4	36.11	63.89
NJ	Demokratisch	17	33.86	65.61
NM	Demokratisch	4	40.24	59.22
NY	Demokratisch	43	31.31	68.56
NC	Demokratisch	13	43.85	56.15
ND	Demokratisch	4	41.88	57.97
OH	Demokratisch	26	37.06	62.94
OK	Demokratisch	8	44.25	55.75
OR	Demokratisch	6	35.96	63.72
PA	Demokratisch	29	34.70	64.92
RI	Demokratisch	4	19.13	80.87
SC	Republikanisch	8	58.89	41.10
SD	Demokratisch	4	44.39	55.61
TN	Demokratisch	11	44.49	55.50
TX	Demokratisch	25	36.49	63.32
UT	Demokratisch	4	45.14	54.86
VT	Demokratisch	3	33.69	66.30
VA	Demokratisch	12	46.18	53.54
WA	Demokratisch	9	37.37	61.97
WV	Demokratisch	7	32.06	67.94
WI	Demokratisch	12	37.74	62.09
WY	Demokratisch	3	43.44	56.56
