MapVis
Harding (R) v. Cox (D)	1920	Resultate	usa.svg	colorgradientusfull.png	Wahlresultate ohne "Faithless Electors"
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
AL	Demokratisch	12	31.37	67.31
AK	NULL	0	0	0
AZ	Republikanisch	3	55.61	44.39
AR	Demokratisch	9	38.73	58.49
CA	Republikanisch	13	66.20	24.28
CO	Republikanisch	6	59.32	35.93
CT	Republikanisch	7	62.72	33.03
DE	Republikanisch	3	55.71	42.07
DC	NULL	0	0	0
FL	Demokratisch	6	30.79	62.13
GA	Demokratisch	14	27.72	72.28
HI	NULL	0	0	0
ID	Republikanisch	4	65.60	34.34
IL	Republikanisch	29	67.81	25.51
IN	Republikanisch	15	55.14	40.49
IA	Republikanisch	13	70.91	25.46
KS	Republikanisch	10	64.75	32.52
KY	Demokratisch	13	49.25	49.69
LA	Demokratisch	10	30.49	69.24
ME	Republikanisch	6	68.92	29.80
MD	Republikanisch	8	55.11	42.16
MA	Republikanisch	18	68.55	27.84
MI	Republikanisch	15	72.76	22.27
MN	Republikanisch	12	70.59	19.43
MS	Demokratisch	10	14.03	83.98
MO	Republikanisch	18	54.56	43.13
MT	Republikanisch	4	61.13	32.05
NE	Republikanisch	8	64.66	31.25
NV	Republikanisch	3	56.92	36.22
NH	Republikanisch	4	59.84	39.39
NJ	Republikanisch	14	67.65	28.42
NM	Republikanisch	3	54.68	44.27
NY	Republikanisch	45	64.56	26.95
NC	Demokratisch	12	43.22	56.70
ND	Republikanisch	5	77.79	18.19
OH	Republikanisch	24	58.47	38.58
OK	Republikanisch	10	50.11	44.61
OR	Republikanisch	5	60.20	33.55
PA	Republikanisch	38	65.76	27.20
RI	Republikanisch	5	63.97	32.78
SC	Demokratisch	9	3.91	96.05
SD	Republikanisch	5	60.74	19.72
TN	Republikanisch	12	51.29	48.19
TX	Demokratisch	20	23.54	59.34
UT	Republikanisch	4	55.93	38.84
VT	Republikanisch	4	75.82	23.25
VA	Demokratisch	12	37.85	61.32
WA	Republikanisch	7	55.96	21.14
WV	Republikanisch	8	55.30	43.30
WI	Republikanisch	13	71.10	16.17
WY	Republikanisch	3	64.15	31.86
