MapVis
Landon (R) v. Roosevelt (D)	1936	Resultate	usa.svg	colorgradientusfull.png	Wahlresultate ohne "Faithless Electors"
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
AL	Demokratisch	11	12.82	86.38
AK	NULL	0	0	0
AZ	Demokratisch	3	26.93	69.85
AR	Demokratisch	9	17.86	81.80
CA	Demokratisch	22	31.70	66.95
CO	Demokratisch	6	37.09	60.37
CT	Demokratisch	8	40.35	55.32
DE	Demokratisch	3	44.85	54.62
DC	NULL	0	0	0
FL	Demokratisch	7	23.90	76.10
GA	Demokratisch	12	12.60	87.10
HI	NULL	0	0	0
ID	Demokratisch	4	33.19	62.96
IL	Demokratisch	29	39.69	57.70
IN	Demokratisch	14	41.89	56.63
IA	Demokratisch	11	42.70	54.41
KS	Demokratisch	9	45.95	53.67
KY	Demokratisch	11	39.92	58.51
LA	Demokratisch	10	11.16	88.82
ME	Republikanisch	5	55.49	41.52
MD	Demokratisch	8	37.04	62.35
MA	Demokratisch	17	41.76	51.22
MI	Demokratisch	19	38.76	56.33
MN	Demokratisch	11	31.01	61.84
MS	Demokratisch	9	2.74	97.06
MO	Demokratisch	15	38.16	60.76
MT	Demokratisch	4	27.59	69.28
NE	Demokratisch	7	40.74	57.14
NV	Demokratisch	3	27.19	72.81
NH	Demokratisch	4	47.98	49.73
NJ	Demokratisch	16	39.57	59.54
NM	Demokratisch	3	36.50	62.69
NY	Demokratisch	47	38.97	58.85
NC	Demokratisch	13	26.60	73.40
ND	Demokratisch	4	26.58	59.60
OH	Demokratisch	26	37.44	57.99
OK	Demokratisch	11	32.69	66.83
OR	Demokratisch	5	29.64	64.42
PA	Demokratisch	36	40.84	56.88
RI	Demokratisch	4	40.18	53.10
SC	Demokratisch	8	1.43	98.57
SD	Demokratisch	4	42.49	54.02
TN	Demokratisch	11	30.75	68.85
TX	Demokratisch	23	12.31	87.08
UT	Demokratisch	4	29.79	69.34
VT	Republikanisch	3	56.39	43.24
VA	Demokratisch	11	29.39	70.23
WA	Demokratisch	8	29.88	66.38
WV	Demokratisch	8	39.20	60.56
WI	Demokratisch	12	30.26	63.80
WY	Demokratisch	3	37.47	60.58
