MapVis
Dole (R) v. Clinton (D)	1996	Resultate	usa.svg	colorgradientusfull.png	Wahlresultate ohne "Faithless Electors"
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
AL	Republikanisch	9	50.12	43.16
AK	Republikanisch	3	50.80	33.27
AZ	Demokratisch	8	44.29	46.52
AR	Demokratisch	6	36.80	53.74
CA	Demokratisch	54	38.21	51.10
CO	Republikanisch	8	45.80	44.43
CT	Demokratisch	8	34.69	52.83
DE	Demokratisch	3	36.58	51.80
DC	Demokratisch	3	9.34	85.19
FL	Demokratisch	25	42.32	48.02
GA	Republikanisch	13	47.01	45.84
HI	Demokratisch	4	31.64	56.93
ID	Republikanisch	4	52.18	33.65
IL	Demokratisch	22	36.81	54.32
IN	Republikanisch	12	47.13	41.55
IA	Demokratisch	7	39.92	50.26
KS	Republikanisch	6	54.29	36.08
KY	Demokratisch	8	44.88	45.84
LA	Demokratisch	9	39.94	52.01
ME	Demokratisch	4	30.76	51.62
MD	Demokratisch	10	38.27	54.25
MA	Demokratisch	12	28.09	61.47
MI	Demokratisch	18	38.48	51.69
MN	Demokratisch	10	34.96	51.10
MS	Republikanisch	7	49.21	44.08
MO	Demokratisch	11	41.24	47.54
MT	Republikanisch	3	44.11	41.23
NE	Republikanisch	5	53.65	34.95
NV	Demokratisch	4	42.91	43.93
NH	Demokratisch	4	39.37	49.32
NJ	Demokratisch	15	35.86	53.72
NM	Demokratisch	5	41.86	49.18
NY	Demokratisch	33	30.61	59.47
NC	Republikanisch	14	48.73	44.04
ND	Republikanisch	3	46.94	40.13
OH	Demokratisch	21	41.02	47.38
OK	Republikanisch	8	48.26	40.45
OR	Demokratisch	7	39.06	47.15
PA	Demokratisch	23	39.97	49.17
RI	Demokratisch	4	26.82	59.71
SC	Republikanisch	8	49.89	43.85
SD	Republikanisch	3	46.49	43.03
TN	Demokratisch	11	45.59	48.00
TX	Republikanisch	32	48.76	43.83
UT	Republikanisch	5	54.37	33.30
VT	Demokratisch	3	31.09	53.35
VA	Republikanisch	13	47.10	45.15
WA	Demokratisch	11	37.30	49.84
WV	Demokratisch	5	36.76	51.51
WI	Demokratisch	11	38.48	48.81
WY	Republikanisch	3	49.81	36.84
