StatVis						
Bush (R) v. Gore (D)	2000	Letzte Gallup-Umfrage	usa.svg	colorgradientusfull.png	Umfragewerte im November, Quelle: Gallup/CNN/USA Today Poll: Final election tracking poll über Roper iPoll	
Republikanisch	Tendenz Republikanisch	Andere	Unentschieden	Tendenz Demokratisch	Demokratisch	
Republikanisch	Demokratisch					
If the election were held today (5. - 6. Nov.), who would you vote for?	42	2	5	6	2	43
Asked of Other-Voters: Who would be your second choice?	30	0	12	25	0	34
