MapVis
Ford (R) v. Carter (D)	1976	Resultate	usa.svg	colorgradientusfull.png	Wahlresultate ohne "Faithless Electors"
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
AL	Demokratisch	9	42.61	55.73
AK	Republikanisch	3	57.90	35.65
AZ	Republikanisch	6	56.37	39.80
AR	Demokratisch	6	34.93	64.94
CA	Republikanisch	45	49.35	47.57
CO	Republikanisch	7	54.05	42.58
CT	Republikanisch	8	52.06	46.90
DE	Demokratisch	3	46.57	51.98
DC	Demokratisch	3	16.51	81.63
FL	Demokratisch	17	46.64	51.93
GA	Demokratisch	12	32.96	66.74
HI	Demokratisch	4	48.06	50.59
ID	Republikanisch	4	59.88	37.12
IL	Republikanisch	26	50.10	48.13
IN	Republikanisch	13	53.32	45.70
IA	Republikanisch	8	49.47	48.46
KS	Republikanisch	7	52.49	44.94
KY	Demokratisch	9	45.57	52.75
LA	Demokratisch	10	45.95	51.73
ME	Republikanisch	4	48.91	48.07
MD	Demokratisch	10	46.96	53.04
MA	Demokratisch	14	40.44	56.11
MI	Republikanisch	21	51.83	46.44
MN	Demokratisch	10	42.02	54.90
MS	Demokratisch	7	47.68	49.56
MO	Demokratisch	12	47.47	51.10
MT	Republikanisch	4	52.84	45.40
NE	Republikanisch	5	59.19	38.46
NV	Republikanisch	3	50.17	45.81
NH	Republikanisch	4	54.75	43.47
NJ	Republikanisch	17	50.08	47.92
NM	Republikanisch	4	50.75	48.28
NY	Demokratisch	41	47.52	51.95
NC	Demokratisch	13	44.22	55.27
ND	Republikanisch	3	51.66	45.80
OH	Demokratisch	25	48.65	48.92
OK	Republikanisch	8	49.96	48.75
OR	Republikanisch	6	47.78	47.62
PA	Demokratisch	27	47.73	50.40
RI	Demokratisch	4	44.08	55.36
SC	Demokratisch	8	43.13	56.17
SD	Republikanisch	4	50.39	48.91
TN	Demokratisch	10	42.94	55.94
TX	Demokratisch	26	47.97	51.14
UT	Republikanisch	4	62.44	33.65
VT	Republikanisch	3	54.34	43.14
VA	Republikanisch	12	49.29	47.96
WA	Republikanisch	9	50.00	46.11
WV	Demokratisch	6	41.93	58.07
WI	Demokratisch	11	47.83	49.50
WY	Republikanisch	3	59.30	39.81
