Willkie,Roosevelt,1940,Actual Results,usa.svg,Election Results not considering faithless Electors
REP,LREP,TIE,LDEM,DEM
AL,DEM,11
AK,NULL,0
AZ,DEM,3
AR,DEM,9
CA,DEM,22
CO,REP,6
CT,DEM,8
DE,DEM,3
DC,NULL,0
FL,DEM,7
GA,DEM,12
HI,NULL,0
ID,DEM,4
IL,DEM,29
IN,REP,14
IA,REP,11
KS,REP,9
KY,DEM,11
LA,DEM,10
ME,REP,5
MD,DEM,8
MA,DEM,17
MI,REP,19
MN,DEM,11
MS,DEM,9
MO,DEM,15
MT,DEM,4
NE,REP,7
NV,DEM,3
NH,DEM,4
NJ,DEM,16
NM,DEM,3
NY,DEM,47
NC,DEM,13
ND,REP,4
OH,DEM,26
OK,DEM,11
OR,DEM,5
PA,DEM,36
RI,DEM,4
SC,DEM,8
SD,REP,4
TN,DEM,11
TX,DEM,23
UT,DEM,4
VT,REP,3
VA,DEM,11
WA,DEM,8
WV,DEM,8
WI,DEM,12
WY,DEM,3
