MapVis
Nixon v. Byrd v. Kennedy;1960;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd Party;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Democrat;11;42.16;56.39
AK;Republican;3;50.94;49.06
AZ;Republican;4;55.52;44.36
AR;Democrat;8;43.06;50.19
CA;Republican;32;50.10;49.55
CO;Republican;6;54.63;44.91
CT;Democrat;8;46.27;53.73
DE;Democrat;3;49.00;50.63
DC;NULL;0;0;0
FL;Republican;10;51.51;48.49
GA;Democrat;12;37.43;62.54
HI;Democrat;3;49.97;50.03
ID;Republican;4;53.78;46.22
IL;Democrat;27;49.80;49.98
IN;Republican;13;55.03;44.60
IA;Republican;10;56.71;43.22
KS;Republican;8;60.45;39.10
KY;Republican;10;53.59;46.41
LA;Democrat;10;28.59;50.42
ME;Republican;5;57.05;42.95
MD;Democrat;9;46.39;53.61
MA;Democrat;16;39.55;60.22
MI;Democrat;20;48.84;50.85
MN;Democrat;11;49.16;50.58
MS;3rd Party;8;24.67;36.34
MO;Democrat;13;49.74;50.26
MT;Republican;4;51.10;48.60
NE;Republican;6;62.07;37.93
NV;Democrat;3;48.84;51.16
NH;Republican;4;53.42;46.58
NJ;Democrat;16;49.16;49.96
NM;Democrat;4;49.41;50.15
NY;Democrat;45;47.27;52.53
NC;Democrat;14;47.89;52.11
ND;Republican;4;55.42;44.52
OH;Republican;25;53.28;46.72
OK;Republican;8;59.02;40.98
OR;Republican;6;52.56;47.32
PA;Democrat;32;48.74;51.06
RI;Democrat;4;36.37;63.63
SC;Democrat;8;48.76;51.24
SD;Republican;4;58.21;41.79
TN;Republican;11;52.92;45.77
TX;Democrat;24;48.52;50.52
UT;Republican;4;54.81;45.17
VT;Republican;3;58.65;41.35
VA;Republican;12;52.44;46.97
WA;Republican;9;50.68;48.27
WV;Democrat;8;47.27;52.73
WI;Republican;12;51.77;48.05
WY;Republican;3;55.01;44.99
