Eisenhower,Stevenson,1956,Actual Results,usa.svg,Election Results not considering faithless Electors
REP,LREP,TIE,LDEM,DEM
AL,DEM,11
AK,NULL,0
AZ,REP,4
AR,DEM,8
CA,REP,32
CO,REP,6
CT,REP,8
DE,REP,3
DC,NULL,0
FL,REP,10
GA,DEM,12
HI,NULL,0
ID,REP,4
IL,REP,27
IN,REP,13
IA,REP,10
KS,REP,8
KY,REP,10
LA,REP,10
ME,REP,5
MD,REP,9
MA,REP,16
MI,REP,20
MN,REP,11
MS,DEM,8
MO,DEM,13
MT,REP,4
NE,REP,6
NV,REP,3
NH,REP,4
NJ,REP,16
NM,REP,4
NY,REP,45
NC,DEM,14
ND,REP,4
OH,REP,25
OK,REP,8
OR,REP,6
PA,REP,32
RI,REP,4
SC,DEM,8
SD,REP,4
TN,REP,11
TX,REP,24
UT,REP,4
VT,REP,3
VA,REP,12
WA,REP,9
WV,REP,8
WI,REP,12
WY,REP,3
