MapVis
Dewey v. Roosevelt;1944;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Democrat;11;18.20;81.28
AK;NULL;0;0;0
AZ;Democrat;4;40.90;58.80
AR;Democrat;9;29.84;69.95
CA;Democrat;25;42.97;56.48
CO;Republican;6;53.21;46.40
CT;Democrat;8;46.94;52.30
DE;Democrat;3;45.27;54.38
DC;NULL;0;0;0
FL;Democrat;8;29.68;70.32
GA;Democrat;12;18.25;81.74
HI;NULL;0;0;0
ID;Democrat;4;48.07;51.55
IL;Democrat;28;48.05;51.52
IN;Republican;13;52.38;46.73
IA;Republican;10;51.99;47.49
KS;Republican;8;60.25;39.18
KY;Democrat;11;45.22;54.45
LA;Democrat;10;19.39;80.59
ME;Republican;5;52.44;47.45
MD;Democrat;8;48.15;51.85
MA;Democrat;16;46.99;52.80
MI;Democrat;19;49.18;50.19
MN;Democrat;11;46.86;52.41
MS;Democrat;9;6.44;93.56
MO;Democrat;15;48.43;51.37
MT;Democrat;4;44.93;54.28
NE;Republican;6;58.58;41.42
NV;Democrat;3;45.38;54.62
NH;Democrat;4;47.87;52.11
NJ;Democrat;16;48.95;50.31
NM;Democrat;4;46.44;53.47
NY;Democrat;47;47.30;52.31
NC;Democrat;14;33.29;66.71
ND;Republican;4;53.84;45.48
OH;Republican;25;50.18;49.82
OK;Democrat;10;44.20;55.57
OR;Democrat;6;46.94;51.78
PA;Democrat;35;48.36;51.14
RI;Democrat;4;41.26;58.59
SC;Democrat;8;4.46;87.64
SD;Republican;4;58.33;41.67
TN;Democrat;12;39.22;60.45
TX;Democrat;23;16.64;71.42
UT;Democrat;4;39.42;60.44
VT;Republican;3;57.06;42.93
VA;Democrat;11;37.39;62.36
WA;Democrat;8;42.24;56.84
WV;Democrat;8;45.11;54.89
WI;Republican;12;50.37;48.57
WY;Republican;3;51.23;48.77
