MapVis
Nixon v. Wallace v. Humphrey;1968;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd Party;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;3rd Party;10;13.99;18.72
AK;Republican;3;45.28;42.65
AZ;Republican;5;54.78;35.02
AR;3rd Party;6;31.01;30.33
CA;Republican;40;47.82;44.74
CO;Republican;6;50.46;41.32
CT;Democrat;8;44.32;49.48
DE;Republican;3;45.12;41.61
DC;Democrat;3;18.18;81.82
FL;Republican;14;40.53;30.93
GA;3rd Party;12;30.40;26.75
HI;Democrat;4;38.70;59.83
ID;Republican;4;56.79;30.66
IL;Republican;26;47.08;44.15
IN;Republican;13;50.29;37.99
IA;Republican;9;53.01;40.82
KS;Republican;7;54.84;34.72
KY;Republican;9;43.79;37.65
LA;3rd Party;10;23.47;28.21
ME;Democrat;4;43.07;55.30
MD;Democrat;10;41.94;43.59
MA;Democrat;14;32.89;63.01
MI;Democrat;21;41.46;48.18
MN;Democrat;10;41.46;54.00
MS;3rd Party;7;13.52;23.02
MO;Republican;12;44.87;43.74
MT;Republican;4;50.60;41.59
NE;Republican;5;59.82;31.81
NV;Republican;3;47.46;39.29
NH;Republican;4;52.10;43.93
NJ;Republican;17;46.10;43.97
NM;Republican;4;51.85;39.75
NY;Democrat;43;44.30;49.76
NC;Republican;13;39.51;29.24
ND;Republican;4;55.94;38.23
OH;Republican;26;45.23;42.95
OK;Republican;8;47.68;31.99
OR;Republican;6;49.83;43.78
PA;Democrat;29;44.02;47.59
RI;Democrat;4;31.78;64.03
SC;Republican;8;38.09;29.61
SD;Republican;4;53.27;41.96
TN;Republican;11;37.85;28.13
TX;Democrat;25;39.87;41.14
UT;Republican;4;56.49;37.07
VT;Republican;3;52.75;43.53
VA;Republican;12;43.36;32.49
WA;Democrat;9;45.12;47.23
WV;Democrat;7;40.78;49.60
WI;Republican;12;47.89;44.27
WY;Republican;3;55.76;35.51
